Atomic Number,Symbol,Element,Group,Weight,Density,Melting Point,Boiling Point,Electronegativity,Atomic Radius,Oxidation Number(s),Valence
1,H,Hydrogen,1,1.008,0.00008988,14.01,20.28,2.2,53,"[1,-1]",No_Data
2,He,Helium,18,4.002602,0.0001785,0.956,4.22,No_Data,31,[0],No_Data
3,Li,Lithium,1,6.94,0.534,453.69,1560,0.98,167,[1],No_Data
4,Be,Beryllium,2,9.012182,1.85,1560,2742,1.57,112,"[1,2]",No_Data
5,B,Boron,13,10.81,2.34,2349,4200,2.04,87,"[1,2,3]",No_Data
6,C,Carbon,14,12.011,2.267,3800,4300,2.55,67,"[1,2,3,4,-4,-3,-2,-1]",No_Data
7,N,Nitrogen,15,14.007,0.0012506,63.15,77.36,3.04,56,"[1,2,3,4,5,-3,-2,-1]",No_Data
8,O,Oxygen,16,15.999,0.001429,54.36,90.2,3.44,48,"[1,2,-2,-1]",No_Data
9,F,Fluorine,17,18.9984032,0.001696,53.53,85.03,3.98,42,[-1],No_Data
10,Ne,Neon,18,20.1797,0.0008999,24.56,27.07,No_Data,38,[0],No_Data
11,Na,Sodium,1,22.98976928,0.971,370.87,1156,0.93,190,"[1,-1]",No_Data
12,Mg,Magnesium,2,24.3059,1.738,923,1363,1.31,145,"[1,2]",No_Data
13,Al,Aluminium,13,26.9815386,2.698,933.47,2792,1.61,118,"[1,2,3]",No_Data
14,Si,Silicon,14,28.085,2.3296,1687,3538,1.9,111,"[1,2,3,4,-4,-3,-2,-1]",No_Data
15,P,Phosphorus,15,30.973762,1.82,317.3,550,2.19,98,"[1,2,3,4,5,-3,-2,-1]",No_Data
16,S,Sulfur,16,32.06,2.067,388.36,717.87,2.58,88,"[1,2,3,4,5,6,-1]",No_Data
17,Cl,Chlorine,17,35.45,0.003214,171.6,239.11,3.16,79,"[1,2,3,4,5,6,7,-1]",No_Data
18,Ar,Argon,18,39.948,0.0017837,83.8,87.3,No_Data,71,[0],No_Data
19,K,Potassium,1,39.0983,0.862,336.53,1032,0.82,243,"[1,-1]",No_Data
20,Ca,Calcium,2,40.078,1.54,1115,1757,1,194,"[1,2]",No_Data
21,Sc,Scandium,3,44.955912,2.989,1814,3109,1.36,184,"[1,2,3]",No_Data
22,Ti,Titanium,4,47.867,4.54,1941,3560,1.54,176,"[1,2,3,4,-1]",No_Data
23,V,Vanadium,5,50.9415,6.11,2183,3680,1.63,171,"[1,2,3,4,5,-1]",No_Data
24,Cr,Chromium,6,51.9961,7.15,2180,2944,1.66,166,"[1,2,3,4,5,6,-2,-1]",No_Data
25,Mn,Manganese,7,54.938045,7.44,1519,2334,1.55,161,"[1,2,3,4,5,6,7,-3,-2,-1]",No_Data
26,Fe,Iron,8,55.845,7.874,1811,3134,1.83,156,"[1,2,3,4,5,6,-2,-1]",No_Data
27,Co,Cobalt,9,58.933195,8.86,1768,3200,1.88,152,"[1,2,3,4,5,-1]",No_Data
28,Ni,Nickel,10,58.6934,8.912,1728,3186,1.91,149,"[1,2,3,4,-1]",No_Data
29,Cu,Copper,11,63.546,8.96,1357.77,2835,1.9,145,"[1,2,3,4]",No_Data
30,Zn,Zinc,12,65.38,7.134,692.88,1180,1.65,142,"[1,2]",No_Data
31,Ga,Gallium,13,69.723,5.907,302.9146,2477,1.81,136,"[1,2,3]",No_Data
32,Ge,Germanium,14,72.63,5.323,1211.4,3106,2.01,125,"[1,2,3,4,-4,-3,-2,-1]",No_Data
33,As,Arsenic,15,74.9216,5.776,1090,887,2.18,114,"[1,2,3,5,-3]",No_Data
34,Se,Selenium,16,78.96,4.809,453,958,2.55,103,"[1,2,4,6,-2]",No_Data
35,Br,Bromine,17,79.9049,3.122,265.8,332,2.96,94,"[1,2,3,4,5,7,-1]",No_Data
36,Kr,Krypton,18,83.798,0.003733,115.79,119.93,3,88,[2],No_Data
37,Rb,Rubidium,1,85.4678,1.532,312.46,961,0.82,265,"[1,-1]",No_Data
38,Sr,Strontium,2,87.62,2.64,1050,1655,0.95,219,"[1,2]",No_Data
39,Y,Yttrium,3,88.90585,4.469,1799,3609,1.22,212,"[1,2,3]",No_Data
40,Zr,Zirconium,4,91.224,6.506,2128,4682,1.33,206,"[1,2,3,4]",No_Data
41,Nb,Niobium,5,92.90638,8.57,2750,5017,1.6,198,"[1,2,3,4,5,-1]",No_Data
42,Mo,Molybdenum,6,95.96,10.22,2896,4912,2.16,190,"[1,2,3,4,5,6,-2,-1]",No_Data
