Num	Sym	Element	Group	Weight	Density	Melting	Boiling	Heat	Electronegativity	  Radius
1	H	Hydrogen	1	1.008	0.00008988	14.01	20.28	14.304	2.2	53
2	He	Helium	18	4.002602	0.0001785	0.956	4.22	5.193	nodata	31
3	Li	Lithium	1	6.94	0.534	453.69	1560	3.582	0.98	167
4	Be	Beryllium	2	9.012182	1.85	1560	2742	1.825	1.57	112
5	B	Boron	13	10.81	2.34	2349	4200	1.026	2.04	87
6	C	Carbon	14	12.011	2.267	3800	4300	0.709	2.55	67
7	N	Nitrogen	15	14.007	0.0012506	63.15	77.36	1.04	3.04	56
8	O	Oxygen	16	15.999	0.001429	54.36	90.2	0.918	3.44	48
9	F	Fluorine	17	18.9984032	0.001696	53.53	85.03	0.824	3.98	42
10	Ne	Neon	18	20.1797	0.0008999	24.56	27.07	1.03	nodata	38
11	Na	Sodium	1	22.98976928	0.971	370.87	1156	1.228	0.93	190
12	Mg	Magnesium	2	24.3059	1.738	923	1363	1.023	1.31	145
13	Al	Aluminium	13	26.9815386	2.698	933.47[3]	2792	0.897	1.61	118
14	Si	Silicon	14	28.085	2.3296	1687	3538	0.705	1.9	111
15	P	Phosphorus	15	30.973762	1.82	317.3	550	0.769	2.19	98
16	S	Sulfur	16	32.06	2.067	388.36	717.87	0.71	2.58	88
17	Cl	Chlorine	17	35.45	0.003214	171.6	239.11	0.479	3.16	79
18	Ar	Argon	18	39.948	0.0017837	83.8	87.3	0.52	nodata	71
19	K	Potassium	1	39.0983	0.862	336.53	1032	0.757	0.82	243
20	Ca	Calcium	2	40.078	1.54	1115	1757	0.647	1	194
21	Sc	Scandium	3	44.955912(6)	2.989	1814	3109	0.568	1.36	184
22	Ti	Titanium	4	47.867(1)	4.54	1941	3560	0.523	1.54	176
23	V	Vanadium	5	50.9415(1)	6.11	2183	3680	0.489	1.63	171
24	Cr	Chromium	6	51.9961(6)	7.15	2180	2944	0.449	1.66	166
25	Mn	Manganese	7	54.938045(5)	7.44	1519	2334	0.479	1.55	161
26	Fe	Iron	8	55.845(2)	7.874	1811	3134	0.449	1.83	156
27	Co	Cobalt	9	58.933195(5)	8.86	1768	3200	0.421	1.88	152
28	Ni	Nickel	10	58.6934(4)	8.912	1728	3186	0.444	1.91	149
29	Cu	Copper	11	63.546(3)4	8.96	1357.77[3]	2835	0.385	1.9	145
30	Zn	Zinc	12	65.38(2)	7.134	692.88	1180	0.388	1.65	142
31	Ga	Gallium	13	69.723(1)	5.907	302.9146	2477	0.371	1.81	136
32	Ge	Germanium	14	72.630(8)	5.323	1211.4	3106	0.32	2.01	125
33	As	Arsenic	15	74.92160(2)	5.776	1090	887	0.329	2.18	114
34	Se	Selenium	16	78.96(3)4	4.809	453	958	0.321	2.55	103
35	Br	Bromine	17	79.9049	3.122	265.8	332	0.474	2.96	94
36	Kr	Krypton	18	83.798(2)2	0.003733	115.79	119.93	0.248	3	88
37      Rb      Rubidium        1       85.4678     1.532       312.46      961     0.363       0.82        265
38	Sr	Strontium	2	87.62(1)2	2.64	1050	1655	0.301	0.95	219
39	Y	Yttrium	3	88.90585	4.469	1799	3609	0.298	1.22	212
40	Zr	Zirconium	4	91.224(2)2	6.506	2128	4682	0.278	1.33	206
41	Nb	Niobium	5	92.90638(2)	8.57	2750	5017	0.265	1.6	198
42	Mo	Molybdenum	6	95.96(2)2	10.22	2896	4912	0.251	2.16	190
43	Tc	Technetium	7	[98]1	11.5	2430	4538	nodata	1.9	183
44	Ru	Ruthenium	8	101.07(2)2	12.37	2607	4423	0.238	2.2	178
45	Rh	Rhodium	9	102.90550(2)	12.41	2237	3968	0.243	2.28	173
46	Pd	Palladium	10	106.42(1)2	12.02	1828.05	3236	0.244	2.2	169
47	Ag	Silver	11	107.8682(2)2	10.501	1234.93[3]	2435	0.235	1.93	165
48	Cd	Cadmium	12	112.411(8)2	8.69	594.22	1040	0.232	1.69	161
49	In	Indium	13	114.818(1)	7.31	429.75	2345	0.233	1.78	156
50	Sn	Tin	14	118.710(7)2	7.287	505.08	2875	0.228	1.96	145
51	Sb	Antimony	15	121.760(1)2	6.685	903.78	1860	0.207	2.05	133
52	Te	Tellurium	16	127.60(3)2	6.232	722.66	1261	0.202	2.1	123
53	I	Iodine	17	126.90447(3)	4.93	386.85	457.4	0.214	2.66	115
54	Xe	Xenon	18	131.293(6)2	0.005887	161.4	165.03	0.158	2.6	108
55	Cs	Caesium	1	132.9054519(2)	1.873	301.59	944	0.242	0.79	298
56	Ba	Barium	2	137.327(7)	3.594	1000	2170	0.204	0.89	253
57	La	Lanthanum	0	138.90547(7)2	6.145	1193	3737	0.195	1.1	nodata
58	Ce	Cerium	0	140.116(1)2	6.77	1068	3716	0.192	1.12	nodata
59	Pr	Praseodymium	0	140.90765(2)	6.773	1208	3793	0.193	1.13	247
60	Nd	Neodymium	0	144.242(3)2	7.007	1297	3347	0.19	1.14	206
61	Pm	Promethium	0	[145]1	7.26	1315	3273	nodata	1.13	205
