H	1											-1
He												
Li	1											
Be	1	2										
B	1	2	3									
C	1	2	3	4					-4	-3	-2	-1
N	1	2	3	4	5					-3	-2	-1
O	1	2									-2	-1
F												-1
Ne												
Na	1											-1
Mg	1	2										
Al	1	2	3									
Si	1	2	3	4					-4	-3	-2	-1
P	1	2	3	4	5					-3	-2	-1
S	1	2	3	4	5	6						-1
Cl	1	2	3	4	5	6	7					-1
Ar												
K	1											-1
Ca	1	2										
Sc	1	2	3									
Ti	1	2	3	4								-1
V	1	2	3	4	5							-1
Cr	1	2	3	4	5	6					-2	-1
Mn	1	2	3	4	5	6	7			-3	-2	-1
Fe	1	2	3	4	5	6					-2	-1
Co	1	2	3	4	5							-1
Ni	1	2	3	4								-1
Cu	1	2	3	4								
Zn	1	2										
Ga	1	2	3									
Ge	1	2	3	4					-4	-3	-2	-1
As	1	2	3		5					-3		
Se	1	2		4		6					-2	
Br	1	2	3	4	5		7					-1
Kr		2										
Rb	1											-1
Sr	1	2										
Y	1	2	3									
Zr	1	2	3	4								
Nb	1	2	3	4	5							-1
Mo	1	2	3	4	5	6					-2	-1
Tc	1	2	3	4	5	6	7			-3		-1
Ru	1	2	3	4	5	6	7	8			-2	
Rh	1	2	3	4	5	6						-1
Pd	1	2		4		6						
Ag	1	2	3	4								
Cd	1	2										
In	1	2	3									
Sn		2		4					-4			
Sb			3		5					-3		
Te		2		4	5	6					-2	
I	1		3	4	5		7					-1
Xe	1	2		4		6		8				
Cs	1											-1
Ba		2										
La		2	3									
Ce		2	3	4								
Pr		2	3	4								
Nd		2	3	4								
Pm		2	3									
Sm		2	3									
Eu		2	3									
Gd	1	2	3									
Tb	1	2	3	4								
Dy		2	3	4								
Ho		2	3									
Er		2	3									
Tm		2	3	4								
Yb		2	3									
Lu			3									
Hf		2	3	4								
Ta		2	3	4	5							-1
W	1	2	3	4	5	6					-2	-1
Re	1	2	3	4	5	6	7			-3		-1
Os	1	2	3	4	5	6	7	8			-2	-1
Ir	1	2	3	4	5	6	7	8		-3		-1
Pt	1	2	3	4	5	6					-2	-1
Au	1	2	3		5							-1
Hg	1	2		4								
Tl	1		3									-1
Pb		2		4					-4			
Bi	1		3		5					-3		
Po		2		4	5	6					-2	
At	1		3		5		7					-1
Rn		2				6						
Fr	1											
Ra		2										
Ac		2	3									
Th		2	3	4								
Pa		2	3	4	5							
U		2	3	4	5	6						
Np			3	4	5	6	7					
Pu			3	4	5	6	7	8				
Am		2	3	4	5	6	7					
Cm		2	3	4		6		8				
Bk		2	3	4								
Cf		2	3	4								
Es		2	3	4								
Fm		2	3									
Md		2	3									
No		2	3									
Lr			3									
Rf				4								
Db					5							
Sg						6						
Bh							7					
Hs								8				
Hs								8				
a nodata
a nodata
a nodata
a nodata
a nodata
a nodata
a nodata
a nodata
a nodata
